Sample ID	Type	Cohort	Genotype	Sex
WP_1_Input	Input	WT P0	WT	Female
WP_2_Input	Input	WT P0	WT	Female
WP_3_Input	Input	WT P0	WT	Male
WP_4_Input	Input	WT P0	WT	Female
WP_5_Input	Input	WT P0	WT	Male
WP_7_Input	Input	WT P0	WT	Female
WP_8_Input	Input	WT P0	WT	Male
WP_9_Input	Input	WT P0	WT	Female
WP_11_Input	Input	WT P0	WT	Female
WP_13_Input	Input	WT P0	WT	Male
WP_14_Input	Input	WT P0	WT	Male
WP_15_Input	Input	WT P0	WT	Female
WP_16_Input	Input	WT P0	WT	Female
WP_17_Input	Input	WT P0	WT	Male
WP_18_Input	Input	WT P0	WT	Female
WP_19_Input	Input	WT P0	WT	Male
WP_20_Input	Input	WT P0	WT	Female
WP_21_Input	Input	WT P0	WT	Male
WP_22_Input	Input	WT P0	WT	Female
WP_1_Final	Final	WT P0	WT	Female
WP_2_Final	Final	WT P0	WT	Female
WP_3_Final	Final	WT P0	WT	Male
WP_4_Final	Final	WT P0	WT	Female
WP_5_Final	Final	WT P0	WT	Male
WP_7_Final	Final	WT P0	WT	Female
WP_8_Final	Final	WT P0	WT	Male
WP_9_Final	Final	WT P0	WT	Female
WP_11_Final	Final	WT P0	WT	Female
WP_13_Final	Final	WT P0	WT	Male
WP_14_Final	Final	WT P0	WT	Male
WP_15_Final	Final	WT P0	WT	Female
WP_16_Final	Final	WT P0	WT	Female
WP_17_Final	Final	WT P0	WT	Male
WP_18_Final	Final	WT P0	WT	Female
WP_19_Final	Final	WT P0	WT	Male
WP_20_Final	Final	WT P0	WT	Female
WP_21_Final	Final	WT P0	WT	Male
WP_22_Final	Final	WT P0	WT	Female
